vid	yid	start	end	raw-text	tokenized-text	gloss	split
Mci9oyb5V2E-00:00:06.000-00:00:06.589	Mci9oyb5V2E	00:00:06.000	00:00:06.589	Hello!	hello		train
G2tzMT1j0gI-00:02:54.719-00:02:59.460	G2tzMT1j0gI	00:02:54.719	00:02:59.460	Next, if you need captioning, you would use Communication Access Realtime Translation (CART) captioning services.	next if you need captioning you would use communication access realtime translation cart captioning services		train
G2tzMT1j0gI-00:02:44.680-00:02:48.460	G2tzMT1j0gI	00:02:44.680	00:02:48.460	VRS interpreters are randomly assigned and may not be qualified for the meeting.	vrs interpreters are randomly assigned and may not be qualified for the meeting		train
G2tzMT1j0gI-00:02:39.580-00:02:44.680	G2tzMT1j0gI	00:02:39.580	00:02:44.680	VRS interpreters may not be able to stay on for the entire meeting and may switch with another VRS interpreter, which means interpreters are not prepared for your meeting and interrupt your ability to participate in the meeting.	vrs interpreters may not be able to stay on for the entire meeting and may switch with another vrs interpreter which means interpreters are not prepared for your meeting and interrupt your ability to participate in the meeting		train
G2tzMT1j0gI-00:02:36.199-00:02:39.580	G2tzMT1j0gI	00:02:36.199	00:02:39.580	This means VRS interpreters will not see what is happening.	this means vrs interpreters will not see what is happening		train
G2tzMT1j0gI-00:02:25.539-00:02:36.199	G2tzMT1j0gI	00:02:25.539	00:02:36.199	Using VRS would mean the interpreter will not be in the video platform with everyone -- instead, they will be on a separate screen.	using vrs would mean the interpreter will not be in the video platform with everyone -- instead they will be on a separate screen		train
G2tzMT1j0gI-00:02:20.740-00:02:25.539	G2tzMT1j0gI	00:02:20.740	00:02:25.539	Next, Video Relay Services (VRS) should not be used for any video meetings.	next video relay services vrs should not be used for any video meetings		train
G2tzMT1j0gI-00:02:15.580-00:02:19.460	G2tzMT1j0gI	00:02:15.580	00:02:19.460	This information will help interpreters provide a smooth interpreting experience.	this information will help interpreters provide a smooth interpreting experience		train
G2tzMT1j0gI-00:02:02.799-00:02:15.580	G2tzMT1j0gI	00:02:02.799	00:02:15.580	Before the meeting starts, discuss with the interpreters any important information they should know, such as specific signs for terms used and name signs of the people involved in the meeting.	before the meeting starts discuss with the interpreters any important information they should know such as specific signs for terms used and name signs of the people involved in the meeting		train
G2tzMT1j0gI-00:01:59.480-00:02:01.980	G2tzMT1j0gI	00:01:59.480	00:02:01.980	Your boss is responsible to pay for the interpreters.	your boss is responsible to pay for the interpreters		train
