Setting,BLEU1,BLEU2,BLEU3,BLEU4,ROUGE,Recall
1b,0.3294,0.1816,0.1137,0.076,0.2817,0.2944
1b,0.3284,0.1807,0.1141,0.0769,0.2743,0.271
1b,0.3272,0.1807,0.1142,0.0769,0.2721,0.2697
bleu1_bleu4_05_05,0.3304,0.182,0.1143,0.0764,0.2833,0.2924
bleu1_bleu4_05_05,0.3316,0.1829,0.1154,0.0772,0.284,0.2921
bleu1_bleu4_07_03,0.3291,0.1809,0.1139,0.0765,0.2819,0.2896
bleu1_bleu4_07_03,0.3336,0.1834,0.1155,0.0775,0.2835,0.2919
bleu1_bleu4_07_03,0.3297,0.1815,0.1144,0.0768,0.2819,0.2927
bleu1_bleu4_rouge_04_04_02,0.3416,0.1884,0.1185,0.0794,0.2862,0.2903
bleu1_bleu4_rouge_04_04_02,0.3426,0.1899,0.1197,0.0805,0.2848,0.2868
bleu1_bleu4_rouge_04_04_02,0.341,0.1882,0.1185,0.0795,0.2848,0.2864
bleu1_bleu4_rouge_04_04_02_alldata_0315_checkpoint1100,0.3437,0.1889,0.1185,0.0793,0.2899,0.2871
bleu1_bleu4_rouge_04_04_02_alldata_0315_checkpoint1100,0.3437,0.1897,0.1194,0.0799,0.2896,0.288
bleu1_rouge,0.3399,0.1876,0.1187,0.0801,0.2847,0.2874
bleu1_rouge,0.3422,0.1885,0.119,0.0801,0.285,0.2889
bleu1_rouge,0.3414,0.1893,0.1194,0.0803,0.2858,0.2871
bleu1_rouge_alldata_0315_checkpoint1100,0.3485,0.1913,0.1205,0.0808,0.2885,0.2909
bleu1_rouge_alldata_0315_checkpoint1100,0.3465,0.1905,0.12,0.0806,0.2875,0.2903
bleu1_rouge_alldata_0315_checkpoint1100,0.3466,0.1905,0.1196,0.0801,0.2866,0.2904
bleu1_rouge_alldata_0315_checkpoint1100,0.3466,0.1905,0.1201,0.0806,0.2878,0.2908
bleu4_rouge_05_05,0.3351,0.1856,0.118,0.08,0.2862,0.2769
bleu4_rouge_05_05,0.3325,0.1827,0.1156,0.0783,0.2851,0.2753
bleu4_rouge_05_05,0.3319,0.1841,0.1175,0.0798,0.2867,0.2769
bleu4_rouge_07_03,0.3343,0.185,0.118,0.0804,0.2869,0.2794
bleu4_rouge_07_03,0.3345,0.1847,0.1179,0.0806,0.2864,0.2782
bleu4_rouge_07_03,0.3361,0.1864,0.1189,0.081,0.2871,0.2813
bleu4_rouge_07_03_checkpoint400,0.3341,0.1852,0.118,0.0802,0.2861,0.2804
bleu4_rouge_07_03_checkpoint400,0.3381,0.1875,0.1196,0.0815,0.2878,0.2817
bleu4_rouge_07_03_checkpoint400,0.3349,0.1851,0.1171,0.0789,0.287,0.2801
firsttry,0.3416,0.1907,0.1215,0.0821,0.288,0.2987
firsttry,0.3405,0.1882,0.1192,0.0801,0.2888,0.2983
firsttry,0.3397,0.1882,0.1193,0.0803,0.2874,0.2973
