VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_0	ZSO1STw4OBk_0	4.3	8.8	Hello, my name is Frank Duffy,
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_1	ZSO1STw4OBk_1	8.8	13.0	Co-Chair of Innovation Reporting Team (IRT).
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_2	ZSO1STw4OBk_2	13.0	17.9	Hello, my name is Raymond Merritt, Jr.,
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_3	ZSO1STw4OBk_3	17.9	19.266	the other Co-Chair.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_4	ZSO1STw4OBk_4	22.667	26.4	The IRT was established by the President to collect,
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_5	ZSO1STw4OBk_5	26.4	30.0	organize, prioritize and report innovative ideas
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_6	ZSO1STw4OBk_6	30.0	33.633	for transforming Gallaudet University.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_7	ZSO1STw4OBk_7	33.633	36.567	We need your help to complete this task.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_8	ZSO1STw4OBk_8	39.6	43.0	It's exciting that Gallaudet has established the IRT
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_9	ZSO1STw4OBk_9	43.0	46.433	to collect your innovative ideas.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_10	ZSO1STw4OBk_10	46.433	49.767	We seek these ideas to promote and support
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_11	ZSO1STw4OBk_11	49.767	54.7	our new Gallaudet Strategic Plan, GSP.
